time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
201447,1,BME_TEMP,18.990,C,18.99,55.46,1018.59
201447,1,BME_HUM,55.465,%,18.99,55.46,1018.59
201447,1,BME_PRESS,1018.587,hPa,18.99,55.46,1018.59
203790,1,MQ4_CH4,0.071,ppm,18.99,55.44,1018.58
203790,1,MQ136_H2S,0.406,ppm,18.99,55.44,1018.58
203790,1,MQ8_H2,0.032,ppm,18.99,55.44,1018.58
203790,1,MQ135_CO2,401.060,ppm,18.99,55.44,1018.58
203786,1,BME_TEMP,18.990,C,18.99,55.44,1018.58
203786,1,BME_HUM,55.442,%,18.99,55.44,1018.58
203786,1,BME_PRESS,1018.580,hPa,18.99,55.44,1018.58
206129,1,MQ4_CH4,0.065,ppm,19.00,55.42,1018.58
206129,1,MQ136_H2S,0.404,ppm,19.00,55.42,1018.58
206129,1,MQ8_H2,0.031,ppm,19.00,55.42,1018.58
206129,1,MQ135_CO2,401.000,ppm,19.00,55.42,1018.58
206124,1,BME_TEMP,19.000,C,19.00,55.42,1018.58
206124,1,BME_HUM,55.420,%,19.00,55.42,1018.58
206124,1,BME_PRESS,1018.576,hPa,19.00,55.42,1018.58
208466,1,MQ4_CH4,0.060,ppm,19.00,55.40,1018.57
208466,1,MQ136_H2S,0.414,ppm,19.00,55.40,1018.57
208466,1,MQ8_H2,0.030,ppm,19.00,55.40,1018.57
208466,1,MQ135_CO2,401.153,ppm,19.00,55.40,1018.57
208461,1,BME_TEMP,19.000,C,19.00,55.40,1018.57
208461,1,BME_HUM,55.398,%,19.00,55.40,1018.57
208461,1,BME_PRESS,1018.573,hPa,19.00,55.40,1018.57
210804,1,MQ4_CH4,0.055,ppm,19.01,55.38,1018.58
210804,1,MQ136_H2S,0.423,ppm,19.01,55.38,1018.58
210804,1,MQ8_H2,0.029,ppm,19.01,55.38,1018.58
210804,1,MQ135_CO2,401.115,ppm,19.01,55.38,1018.58
210799,1,BME_TEMP,19.010,C,19.01,55.38,1018.58
210799,1,BME_HUM,55.377,%,19.01,55.38,1018.58
210799,1,BME_PRESS,1018.576,hPa,19.01,55.38,1018.58
213142,1,MQ4_CH4,0.051,ppm,19.00,55.40,1018.56
213142,1,MQ136_H2S,0.442,ppm,19.00,55.40,1018.56
213142,1,MQ8_H2,0.029,ppm,19.00,55.40,1018.56
